,35,35.1,35.2,34,33,31,30,29,29.1
8,39,43,29,23,25,27,32,26,40
26,18,13,22,18,14,10,13,11,14
44,20,17,17,24,20,22,10,8,5
62,11,4,8,12,13,15,25,28,20
80,34,24,19,17,19,16,21,27,27
98,118,122,102,76,70,83,106,116,117
116,81,76,62,53,43,36,32,32,28
134,32,29,24,28,24,23,21,28,34
152,53,61,61,47,36,34,41,47,43
170,34,24,16,14,16,18,14,16,17
188,25,27,33,39,39,34,27,32,23
206,25,23,21,25,25,31,34,42,42
224,43,34,32,30,34,29,34,38,43
242,13,7,10,12,14,14,11,14,13
260,21,16,20,13,23,16,24,21,27
278,95,87,85,76,70,65,63,54,43
296,38,24,20,15,18,25,32,36,36
314,50,50,51,60,65,70,72,65,55
332,18,21,22,22,22,24,18,20,21
350,24,22,19,10,4,4,6,10,10
368,5,5,3,3,7,6,16,19,31
386,27,23,26,21,22,19,16,28,30
404,28,26,30,44,53,59,57,56,54
422,34,34,34,31,30,27,36,44,50
440,4,3,1,4,6,15,19,21,20
458,16,13,16,20,17,14,9,9,10
476,31,34,40,40,45,49,45,46,45
494,54,51,45,42,42,35,41,36,35
512,38,42,40,48,44,47,38,47,62
530,9,14,14,19,23,20,14,11,15
548,20,15,14,15,26,28,27,20,17
566,43,34,38,30,24,21,30,35,45
584,32,42,35,34,26,34,39,38,37
602,48,38,33,32,29,25,14,20,21
620,73,73,61,74,73,79,63,59,52
638,41,31,15,22,35,40,44,32,42
656,15,14,12,14,15,16,18,14,14
674,24,30,30,30,32,32,33,44,50
692,29,23,28,25,27,19,24,16,24
710,9,11,8,8,4,5,5,2,1
728,23,27,28,24,23,26,35,34,27
746,6,3,1,2,4,4,9,3,6
764,42,35,40,45,52,55,55,48,47
782,35,43,52,51,44,38,0,34,27
800,15,14,10,12,23,24,25,34,50
818,42,37,37,33,34,31,30,30,41
836,31,31,40,41,40,43,43,46,37
854,34,29,32,26,19,10,14,16,23
872,38,39,34,29,30,28,29,24,24
890,33,34,34,33,37,37,44,51,61
908,21,21,24,20,21,17,21,20,23
926,34,0,80,80,62,48,37,37,44
944,24,40,34,38,35,36,32,24,21
962,44,47,26,25,24,29,27,17,30
980,6,5,7,11,12,14,19,19,18
998,10,13,7,6,18,20,28,24,34
1016,45,48,46,43,33,26,24,32,40
1034,12,10,17,27,28,29,27,34,24
1052,33,33,32,0,61,60,44,30,24
1070,13,4,3,3,7,14,7,14,10
1088,58,65,0,67,70,70,62,60,59
1106,77,85,83,77,79,84,94,92,92
1124,21,15,9,17,25,29,27,27,35
1142,8,9,8,5,6,13,19,23,24
1160,42,38,31,26,23,23,15,10,14
1178,55,53,43,45,37,20,15,26,33
1196,33,35,24,25,13,14,24,0,42
1214,35,36,45,41,32,26,19,17,10
1232,24,23,29,33,38,32,31,29,50
1250,23,19,20,19,12,11,8,10,7
1268,7,12,13,12,14,14,20,18,15
1286,19,16,20,31,34,34,7,2,17
1304,27,30,44,54,55,51,39,28,30
1322,14,10,6,18,0,24,24,15,15
1340,85,90,97,98,85,76,72,68,49
1358,57,55,55,53,50,55,68,70,67
1376,21,14,14,13,13,7,3,1,1
1394,67,55,44,49,55,63,54,45,36
1412,44,41,55,73,90,86,80,78,76
1430,21,16,23,25,34,30,33,34,40
1448,80,85,93,88,87,84,77,64,53
1466,0,38,39,39,35,41,37,36,20
1484,11,5,4,9,16,20,14,14,12
1502,38,31,25,24,25,23,22,20,32
1520,26,15,11,22,21,15,11,8,11
1538,7,10,4,4,3,7,13,9,12
1556,33,35,34,23,28,34,41,48,30
1574,73,88,92,89,86,80,93,91,95
1592,19,18,15,12,19,31,34,30,29
1610,60,51,44,36,38,45,50,53,51
1628,46,57,48,53,26,19,5,9,14
1646,31,24,24,27,43,50,55,55,65
1664,51,43,35,48,52,55,50,47,57
1682,14,12,11,5,10,10,13,5,8
1700,14,9,12,21,24,26,22,17,21
1718,40,40,45,49,46,41,24,24,24
1736,20,14,14,29,36,34,28,25,24
1754,1,1,2,5,3,9,12,14,1
1772,16,24,22,23,14,11,6,15,14
1790,13,14,19,22,17,24,24,31,35
1808,7,26,28,26,14,12,14,18,21
1826,37,43,44,45,45,43,40,39,46
1844,43,30,27,18,14,14,23,31,33
1862,20,24,24,26,34,39,34,34,32
1880,37,38,40,34,26,24,24,30,33
1898,20,23,22,26,24,32,30,33,30
