id,value
id_0,33.49062855916169
id_1,18.475117671950247
id_2,15.856884862563472
id_3,20.3688979707973
id_4,23.84406709569902
id_5,78.05329140462388
id_6,30.409341121945175
id_7,29.972144993582116
id_8,37.383121458320566
id_9,18.17331099202112
id_10,29.703568423874817
id_11,33.87833576343463
id_12,35.944912060422375
id_13,17.250911593034065
id_14,26.399847352738515
id_15,45.183736428736196
id_16,27.04103321422197
id_17,51.88195850333739
id_18,23.98219632872164
id_19,12.538135013633305
id_20,24.827720247304057
id_21,26.56832883758215
id_22,48.40413616018724
id_23,39.240093216785944
id_24,18.826147399075033
id_25,17.580635684676672
id_26,41.511578812725574
id_27,35.165072224453084
id_28,49.80534556004242
id_29,22.524298146330302
id_30,22.429179821514378
id_31,34.45824675718417
id_32,33.175023874927
id_33,23.600682041256185
id_34,51.79188280387853
id_35,36.34101488236259
id_36,18.856782275807884
id_37,40.299728973548035
id_38,26.882685225601815
id_39,9.9340575196832
id_40,26.99528059632221
id_41,12.167641695571838
id_42,44.04015898284067
id_43,30.964127535564476
id_44,37.305635773770504
id_45,35.82490618905369
id_46,36.14686361674093
id_47,23.539934332080662
id_48,27.016804671444014
id_49,46.566781682161654
id_50,24.62245510255417
id_51,46.84595028158287
id_52,29.519657544261452
id_53,28.49930980635895
id_54,20.131883766823428
id_55,29.24679267446822
id_56,35.705471598490426
id_57,27.007170741050913
id_58,31.529446767244387
id_59,12.550979772850077
id_60,57.04964195524483
id_61,72.63665866993
id_62,30.80739817556761
id_63,20.511416788430203
id_64,19.756373367793817
id_65,32.691514275086284
id_66,34.508021890971015
id_67,21.632997781614776
id_68,43.209953351772185
id_69,13.94256118633059
id_70,19.545817511650966
id_71,26.28964100781519
id_72,39.51086247293299
id_73,16.001047631788524
id_74,54.60612578764612
id_75,52.328358632673215
id_76,11.265362727109235
id_77,37.58431682644463
id_78,69.39810844557513
id_79,36.032277082114454
id_80,56.9614738692531
id_81,30.77987649783546
id_82,17.231366840517772
id_83,29.020789767495508
id_84,18.636215228683778
id_85,14.977597981439049
id_86,27.538200058347726
id_87,77.95767045638576
id_88,26.051228340931768
id_89,39.46319494141883
id_90,23.17725870801134
id_91,49.42312251361275
id_92,48.65802802457832
id_93,14.250057245424575
id_94,25.03052755169503
id_95,32.055053684546095
id_96,29.481119130444952
id_97,9.09007650135243
id_98,18.891272010899865
id_99,29.44812531622266
id_100,24.153490613856658
id_101,42.80855924020074
id_102,24.553383657977758
id_103,32.350933613679615
id_104,30.133830231909347
id_105,28.755140868128017
id_106,22.633450203393927
id_107,38.42228162966681
id_108,15.749980573836568
id_109,59.71583977118505
id_110,25.976092716087923
id_111,58.39850522158732
id_112,27.81074453221866
id_113,33.0102878438109
id_114,30.782020081381145
id_115,35.90540925217928
id_116,38.43800955084689
id_117,23.695615264641486
id_118,29.873942184204193
id_119,46.492729789246795
id_120,28.82090155650633
id_121,37.15705344841205
id_122,58.43222248074932
id_123,12.872479343917377
id_124,31.7936829312788
id_125,11.215829435623485
id_126,29.190609694752933
id_127,16.767767978902285
id_128,25.909699114849122
id_129,46.172425921619336
id_130,13.761898137218108
id_131,45.314363665413296
id_132,24.782515644957126
id_133,12.44550948755403
id_134,22.36184021379448
id_135,31.54605576134822
id_136,58.50674363447637
id_137,72.53322923945102
id_138,24.7801607379198
id_139,42.48123571921937
id_140,60.51366478721379
id_141,16.772035773912457
id_142,45.473924676850906
id_143,27.216476454847697
id_144,36.791463747508764
id_145,13.419118894659919
id_146,32.9998569150974
id_147,40.32216614979121
id_148,30.708231175738984
id_149,22.192825679725587
id_150,26.336061352504817
id_151,32.72748454187352
id_152,51.69072973893172
id_153,21.111842363088993
id_154,15.50209554219908
id_155,45.340312194902125
id_156,19.835285684183052
id_157,24.01350391884104
id_158,40.677661530641466
id_159,33.372064875843904
id_160,15.482237367536131
id_161,83.65104190515706
id_162,60.23634266732758
id_163,48.86400496877563
id_164,35.8846562490682
id_165,33.39122834367707
id_166,45.67501605897963
id_167,47.33620095744534
id_168,16.153681974605703
id_169,32.81300531474918
id_170,26.527778463965372
id_171,25.029697750322338
id_172,35.46990950010097
id_173,42.52238916023272
id_174,65.9863727435885
id_175,44.6257272755086
id_176,21.94322831084279
id_177,34.122491922320016
id_178,57.74311239292203
id_179,31.76609043808351
id_180,18.5345567127906
id_181,43.93184415080587
id_182,19.931701631504527
id_183,47.80321061902866
id_184,26.146328460225604
id_185,41.46857410917524
id_186,34.26874615270024
id_187,39.47321769578331
id_188,55.93432597294757
id_189,50.05087375236054
id_190,15.431717878388827
id_191,20.70803762568876
id_192,27.30544149009081
id_193,34.849233988973324
id_194,27.308051418719987
id_195,18.800859225457717
id_196,13.712156619943633
id_197,19.92140125966193
id_198,29.16464121351862
id_199,16.209883540722572
id_200,16.101093646976942
id_201,24.232826731150382
id_202,40.336021882197656
id_203,59.165289831239235
id_204,18.072663181766902
id_205,25.10119061118974
id_206,36.70340532928684
id_207,41.184451870015735
id_208,27.172463705034183
id_209,26.57317941975071
id_210,38.17911206667109
id_211,41.27283332183063
id_212,42.85976623675182
id_213,16.23479605134534
id_214,24.244635954818982
id_215,11.204501022234357
id_216,44.82776565430547
id_217,12.919463703061533
id_218,35.449318435601356
id_219,80.6415890722512
id_220,50.35136913105067
id_221,24.003181211263385
id_222,39.67362570691268
id_223,70.05709667879054
id_224,30.334027286280534
id_225,18.87392729798729
id_226,20.238452427622178
id_227,37.252187138470624
id_228,33.554222136338026
id_229,31.41537114971148
id_230,10.42801224166633
id_231,29.266836577355342
id_232,8.408850153625107
id_233,27.917684040370354
id_234,47.953572858502234
id_235,23.685544718418264
id_236,22.94499958238201
id_237,15.495912693751567
id_238,20.690571283103175
id_239,28.888890097997706
id_240,34.411749472522864
id_241,60.5436786027368
id_242,32.0792183316922
id_243,32.39156355077673
id_244,44.030878152333564
id_245,41.73963140350219
id_246,38.98755062262973
id_247,40.230979620111185
id_248,23.635369108967787
id_249,15.204183329764927
id_250,15.403912129335833
id_251,34.54701718245314
id_252,21.509600619310934
id_253,23.093440100841313
id_254,24.513497473175523
id_255,26.81407595511801
id_256,36.29476666258506
id_257,13.089383882506908
id_258,33.697899665508395
id_259,32.34468094699154
